g. drummond,dk arvind,Validation of a new non-invasive automatic monitor of respiratory rate for postoperative subjects,2011
g. drummond,richard mann,Validation of a new non-invasive automatic monitor of respiratory rate for postoperative subjects,2011
g. drummond,gordon drummond,Validation of a new non-invasive automatic monitor of respiratory rate for postoperative subjects,2011
g. drummond,andrew bates,Validation of a new non-invasive automatic monitor of respiratory rate for postoperative subjects,2011
g. drummond,damal arvind,Validation of a new non-invasive automatic monitor of respiratory rate for postoperative subjects,2011
joe mattis,stephan kerpedjiev,AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics,2004
joe mattis,giuseppe carenini,AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics,2004
joe mattis,johanna moore,AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics,2004
joe mattis,vibhu mittal,Generating Explanatory Captions for Information Graphics,1995
joe mattis,nancy green,AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics,2004
joe mattis,steven roth,AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics,2004
cristina alecu,ioan covalcic,"Enhancing the Quality of Learning by Using an
Innovative Approach for Teaching Energy in
Secondary Schools",2010
cristina alecu,eleonora tudora,"Enhancing the Quality of Learning by Using an
Innovative Approach for Teaching Energy in
Secondary Schools",2010
cristina alecu,ovidiu bica,"Enhancing the Quality of Learning by Using an
Innovative Approach for Teaching Energy in
Secondary Schools",2010
cristina alecu,cristina-adriana alexandru,"Enhancing the Quality of Learning by Using an
Innovative Approach for Teaching Energy in
Secondary Schools",2010
cristina alecu,adriana alexandru,"Enhancing the Quality of Learning by Using an
Innovative Approach for Teaching Energy in
Secondary Schools",2010
matthias hennig,bruce graham,Wide-band information transmission at the calyx of Held,2009
matthias hennig,timothy o'leary,Algorithms for automatic neuron tracing in noisy 3D image stacks,2010
matthias hennig,matthias hennig,Modelling homeostatic control of intrinsic excitability in single neurons,2012
matthias hennig,adam tozer,The Sound of Silence: ionic mechanisms encoding sound termination,2011
matthias hennig,jens-oliver muthmann,Estimating the fraction of falsely detected spikes in high density microelectrode array recordings based on correlations,2013
matthias hennig,zhijun yang,Wide-band information transmission at the calyx of Held,2009
